Character,Series,Release Date,Released?
Nataku Son,Fire Force,"4/2/2022, 5:40 PM UTC",
Genis Sage,Tales of Symphonia,"4/2/2022, 6:00 PM UTC",
Yellow Wine,Food Fantasy,"4/2/2022, 6:10 PM UTC",
Rua Nakamachi,Dropout Idol Fruit Tart,"4/2/2022, 6:20 PM UTC",
Canti,FLCL,"4/2/2022, 6:30 PM UTC",
Merlin,Fate/Grand Order,"4/2/2022, 6:40 PM UTC",
Jack Hammer,Baki the Grappler: Maximum Tournament,"4/2/2022, 6:50 PM UTC",
Fernand de Morcerf,Gankutsuou: The Count of Monte Cristo,"4/2/2022, 7:00 PM UTC",
Yui,Sword Art Online,"4/2/2022, 7:10 PM UTC",
Komaki Jindai,Saki: The Nationals,"4/2/2022, 7:20 PM UTC",
Pod,The Secret World of Arrietty,"4/2/2022, 7:30 PM UTC",
Masahiro Setagawa,Hitorijime My Hero,"4/2/2022, 7:50 PM UTC",
U,Hiragana Danshi,"4/2/2022, 8:10 PM UTC",
Shougo Amakusa,Rurouni Kenshin,"4/2/2022, 8:20 PM UTC",
Liechtenstein,Hetalia: Axis Powers,"4/2/2022, 8:30 PM UTC",
The Grateful Dead,JoJo's Bizarre Adventure: Golden Wind,"4/2/2022, 8:40 PM UTC",
Hinako Inui,Food Wars! Shokugeki no Souma,"4/2/2022, 9:00 PM UTC",
Kaede Kagayama,Non Non Biyori,"4/2/2022, 9:10 PM UTC",
Ailane,Show by Rock!!#,"4/2/2022, 9:20 PM UTC",
Izuru Kira,Bleach,"4/2/2022, 9:30 PM UTC",
Loki Laevatein,Kamigami no Asobi,"4/2/2022, 9:40 PM UTC",
Alice Arisuin,Chivalry of a Failed Knight,"4/2/2022, 9:50 PM UTC",
Kotomi Ichinose,Clannad,"4/2/2022, 10:00 PM UTC",
Ray Kasugano,Ray the Animation,"4/2/2022, 10:30 PM UTC",
Seito Tsubaki,"DANKIRA!!! - Boys, be DANCING!","4/2/2022, 10:40 PM UTC",
Muzan Kibutsuji,Demon Slayer: Kimetsu no Yaiba,"4/2/2022, 10:50 PM UTC",
Joseph Joestar,JoJo's Bizarre Adventure,"4/2/2022, 11:00 PM UTC",
Ririka,Drugstore in Another World: The Slow Life of a Cheat Pharmacist,"4/2/2022, 11:10 PM UTC",
Mio,Dororo,"4/2/2022, 11:20 PM UTC",
Hatoko Kobayashi,Angelic Layer,"4/2/2022, 11:30 PM UTC",
Suzue Kanbe,Fugou Keiji: Balance:Unlimited,"4/2/2022, 11:40 PM UTC",
Elemental Hero Flame Wingman,Yu-Gi-Oh! GX,"4/2/2022, 11:50 PM UTC",
Mayoi Ayase,Ensemble Stars!!,"4/3/2022, 12:00 AM UTC",
Cécile Lafitte,Gosick,"4/3/2022, 12:10 AM UTC",
Ilyana,Fire Emblem: Path of Radiance,"4/3/2022, 12:20 AM UTC",
Nikaido,Dorohedoro,"4/3/2022, 12:40 AM UTC",
Alexandroff Grigorovich,Plunderer,"4/3/2022, 12:50 AM UTC",
Makoto Tachibana,Free! - Iwatobi Swim Club,"4/3/2022, 1:00 AM UTC",
Yuki Rurikawa,A3! Season Spring & Summer,"4/3/2022, 1:10 AM UTC",
Zwei,RWBY,"4/3/2022, 1:20 AM UTC",
Musashibou Benkei,Fate/Grand Order,"4/3/2022, 1:30 AM UTC",
Kyou Goshouin,And you thought there is never a girl online?,"4/3/2022, 2:00 AM UTC",
Nina Williams,Tekken 1,"4/3/2022, 2:10 AM UTC",
Yvette L. Lehrman,Lord El-Melloi II's Case Files {Rail Zeppelin} Grace note,"4/3/2022, 2:30 AM UTC",
Alice Mononobe,Nijisanji,"4/3/2022, 2:40 AM UTC",
Xiaomu,Namco × Capcom,"4/3/2022, 3:10 AM UTC",
Platelet Leader,Cells at Work!,"4/3/2022, 3:20 AM UTC",
Leonie Pinelli,Fire Emblem: Three Houses,"4/3/2022, 3:30 AM UTC",
Ranko Kanzaki,The iDOLM@STER: Cinderella Girls,"4/3/2022, 3:40 AM UTC",
Issei Torasawa,DREAM!ing,"4/3/2022, 3:50 AM UTC",
Daidouji,Senran Kagura: Portrait of Girls,"4/3/2022, 4:00 AM UTC",
Twoearle,Gonna be the Twin-Tail!!,"4/3/2022, 4:10 AM UTC",
Melissa,Kamigami no Asobi,"4/3/2022, 4:20 AM UTC",
En,Dorohedoro,"4/3/2022, 4:30 AM UTC",
Kazunari Miyoshi,A3! Season Spring & Summer,"4/3/2022, 4:40 AM UTC",
Roberto,Monster,"4/3/2022, 4:50 AM UTC",
Sagakure Yui,Date A Bullet: Dead or Bullet,"4/3/2022, 5:00 AM UTC",
Hajime Saitou,Rurouni Kenshin,"4/3/2022, 5:20 AM UTC",
All Might,My Hero Academia,"4/3/2022, 5:30 AM UTC",
Ikkei Ukai,Haikyuu!!,"4/3/2022, 5:40 AM UTC",
Oda Nobukatsu,Fate/Grand Order,"4/3/2022, 5:50 AM UTC",
Suzuran,Tsubasa Reservoir Chronicle 2nd Season,"4/3/2022, 6:00 AM UTC",
Ines Lorenzen,Tales of Hearts,"4/3/2022, 6:20 AM UTC",
Holo,Spice and Wolf,"4/3/2022, 6:30 AM UTC",
Sousuke Mitsuba,Toilet-Bound Hanako-kun,"4/3/2022, 6:40 AM UTC",
Prototype Mascot,Heaven's Design Team,"4/3/2022, 6:50 AM UTC",
Florina,Fire Emblem: The Blazing Blade,"4/3/2022, 7:00 AM UTC",
Yuuko Hori,The iDOLM@STER: Cinderella Girls,"4/3/2022, 7:10 AM UTC",
Renly Synthesis Twenty-Seven,Sword Art Online: Alicization - War of Underworld,"4/3/2022, 7:30 AM UTC",
Mashiro Kurata,BanG Dream!,"4/3/2022, 7:40 AM UTC",
Felicia,Fire Emblem Fates,"4/3/2022, 7:50 AM UTC",
Kirako Haruno,Bungou Stray Dogs,"4/3/2022, 8:00 AM UTC",
Emma,The Promised Neverland,"4/3/2022, 8:10 AM UTC",
Kaolinite,Sailor Moon S,"4/3/2022, 8:20 AM UTC",
George Koizumi,Paradise Kiss,"4/3/2022, 8:30 AM UTC",
Taki Tachibana,your name.,"4/3/2022, 8:40 AM UTC",
Violet,Closers,"4/3/2022, 8:50 AM UTC",
Fondant Cake,Food Fantasy,"4/3/2022, 9:00 AM UTC",
Akai Haato,Hololive: Holo no Graffiti,"4/3/2022, 9:10 AM UTC",
Megumi Katou,Saekano: How to Raise a Boring Girlfriend,"4/3/2022, 9:20 AM UTC",
Calcifer,Howl's Moving Castle,"4/3/2022, 9:30 AM UTC",
Nobisuke Nobi,Doraemon (1979),"4/3/2022, 9:50 AM UTC",
King Hassan,Fate/Grand Order,"4/3/2022, 10:00 AM UTC",
Arashi Nagase,Paradise Kiss,"4/3/2022, 10:10 AM UTC",
Setsuna,Yashahime: Princess Half-Demon,"4/3/2022, 10:20 AM UTC",
Diamond,Land of the Lustrous,"4/3/2022, 10:30 AM UTC",
Jin Russell,"Problem Children Are Coming from Another World, Aren't They?","4/3/2022, 10:40 AM UTC",
Kanon Kanase,Strike the Blood,"4/3/2022, 10:50 AM UTC",
Touya,Tsubasa Reservoir Chronicle,"4/3/2022, 11:00 AM UTC",
Shouta Mitarai,The iDOLM@STER,"4/3/2022, 11:10 AM UTC",
Fai D. Flourite,Tsubasa Reservoir Chronicle,"4/3/2022, 11:20 AM UTC",
Ikuno Dictus,Uma Musume: Pretty Derby Season 2,"4/3/2022, 11:30 AM UTC",
Lelouch Lamperouge,Code Geass: Lelouch of the Rebellion,"4/3/2022, 11:40 AM UTC",
Marco Adriano,Gangsta.,"4/3/2022, 12:00 PM UTC",
Souma Kanzaki,Ensemble Stars!,"4/3/2022, 12:20 PM UTC",
Popuko,Pop Team Epic,"4/3/2022, 12:30 PM UTC",
Ryouna,Senran Kagura: Shinovi Versus,"4/3/2022, 12:50 PM UTC",
Histoire,Hyperdimension Neptunia,"4/3/2022, 1:00 PM UTC",
Bonobono,Bonobono,"4/3/2022, 1:10 PM UTC",
Ryou Amakusa,Koikimo,"4/3/2022, 1:20 PM UTC",
Kiba,Wolf's Rain,"4/3/2022, 1:30 PM UTC",
Requiem Arrow,JoJo's Bizarre Adventure: Golden Wind,"4/3/2022, 1:40 PM UTC",
Ninomae Ina'nis,Hololive EN,"4/3/2022, 1:50 PM UTC",
Shoko Asami,Angelic Layer,"4/3/2022, 2:00 PM UTC",
Irisdina Bernhard,Schwarzesmarken,"4/3/2022, 2:20 PM UTC",
Sharena,Fire Emblem Heroes,"4/3/2022, 2:30 PM UTC",
Hisoka Mikage,A3! Season Autumn & Winter,"4/3/2022, 2:40 PM UTC",
Hajime Fujiwara,The iDOLM@STER: Cinderella Girls Theater 2nd Season,"4/3/2022, 2:50 PM UTC",
Rock,Black Lagoon,"4/3/2022, 3:00 PM UTC",
Kuroneko,Trigun,"4/3/2022, 3:10 PM UTC",
Special Week,Uma Musume: Pretty Derby,"4/3/2022, 3:20 PM UTC",
Uroko-sama,Nagi no Asukara,"4/3/2022, 3:30 PM UTC",
Akua Aino,Love Tyrant,"4/3/2022, 3:40 PM UTC",
Hanabi Kawai,Keijo!!!!!!!!,"4/3/2022, 3:50 PM UTC",
Rom,Hyperdimension Neptunia,"4/3/2022, 4:00 PM UTC",
Dalia Matsuyama,D4DJ First Mix,"4/3/2022, 4:10 PM UTC",
Ravel Phenex,High School DxD,"4/3/2022, 4:30 PM UTC",
Ilulu,Miss Kobayashi's Dragon Maid S,"4/3/2022, 4:40 PM UTC",
Dark Shadow,My Hero Academia,"4/3/2022, 4:50 PM UTC",
Yayoi Nakayama,Air Gear,"4/3/2022, 5:00 PM UTC",
Shiki,Senran Kagura: Shinovi Versus,"4/3/2022, 5:10 PM UTC",
Ortho Shroud,Twisted Wonderland,"4/3/2022, 5:20 PM UTC",
Eishi Tsukasa,Food Wars! Toutsuki Juukketsu,"4/3/2022, 5:30 PM UTC",
Peking Duck,Food Fantasy,"4/3/2022, 5:40 PM UTC",
Henry,Fire Emblem Awakening,"4/3/2022, 5:50 PM UTC",
Pain,Naruto Shippuden,"4/3/2022, 6:00 PM UTC",
Akiho Shinomoto,Cardcaptor Sakura: Clear Card-hen,"4/3/2022, 6:20 PM UTC",
Izumi Sena,Ensemble Stars!,"4/3/2022, 6:30 PM UTC",
Kikurage,Dorohedoro,"4/3/2022, 6:50 PM UTC",
Beatrice,Umineko: When They Cry,"4/3/2022, 7:20 PM UTC",
Haruhime Sanjouno,Is It Wrong to Try to Pick Up Girls in a Dungeon? II,"4/3/2022, 7:40 PM UTC",
Akira Otori,HELIOS Rising Heroes,"4/3/2022, 7:50 PM UTC",
Yukari Sendo,Rosario + Vampire,"4/3/2022, 8:00 PM UTC",
Hiroshi Odawara,Those Snow White Notes,"4/3/2022, 8:10 PM UTC",
Jeanne de Valois de la Motte,The Rose of Versailles,"4/3/2022, 8:20 PM UTC",
Narberal Gamma,Overlord,"4/3/2022, 8:30 PM UTC",
Claire Stanfield,Baccano!,"4/3/2022, 8:40 PM UTC",
Dill,NEKOPARA - Catboys Paradise,"4/3/2022, 9:00 PM UTC",
Botan,Yu Yu Hakusho,"4/3/2022, 9:10 PM UTC",
Cyan Hijirikawa,Show by Rock!!,"4/3/2022, 9:30 PM UTC",
Meiko,emon(Tes.): Lion of the Starry Sky,"4/3/2022, 9:40 PM UTC",
Harold Berselius,Tales of Destiny 2,"4/3/2022, 9:50 PM UTC",
Dola,Laputa: Castle in the Sky,"4/3/2022, 10:00 PM UTC",
Shino Asada,Sword Art Online II,"4/3/2022, 10:10 PM UTC",
Dan Davis,The Animatrix,"4/3/2022, 10:20 PM UTC",
Misumi Ikaruga,A3! Season Spring & Summer,"4/3/2022, 10:30 PM UTC",
Kotoko Sumiso,A Destructive God Sits Next to Me,"4/3/2022, 10:40 PM UTC",
Noriko Kamomebata,Scum's Wish,"4/3/2022, 10:50 PM UTC",
Tatsumaki,One-Punch Man,"4/3/2022, 11:00 PM UTC",
Umaru Doma,Himouto! Umaru-chan,"4/3/2022, 11:20 PM UTC",
Rintarou Suna,Haikyuu!! To the Top,"4/3/2022, 11:30 PM UTC",
Aladdin,Magi: The Kingdom of Magic,"4/3/2022, 11:40 PM UTC",
Phi,Zero Escape,"4/3/2022, 11:50 PM UTC",
Ringo Noyamano,Air Gear,"4/4/2022, 12:00 AM UTC",
Kyoujurou Rengoku,Demon Slayer: Kimetsu no Yaiba,"4/4/2022, 12:10 AM UTC",
Sakuranbou,Urusei Yatsura,"4/4/2022, 12:20 AM UTC",
Subaru Shiro,Tsubasa Reservoir Chronicle: Tokyo Revelations,"4/4/2022, 12:30 AM UTC",
Silica,Sword Art Online,"4/4/2022, 12:40 AM UTC",
Rei Hatada,CRYSTAR,"4/4/2022, 12:50 AM UTC",
The Forest Spirit,Princess Mononoke,"4/4/2022, 1:00 AM UTC",
Sora Kazesawa,Aikatsu! 2,"4/4/2022, 1:10 AM UTC",
Makoto Yuuki,Persona 3 the Movie 2: Midsummer Knight's Dream,"4/4/2022, 1:20 AM UTC",
Taira-no-Kagekiyo,Fate/Grand Order,"4/4/2022, 1:40 AM UTC",
Balalaika,Black Lagoon,"4/4/2022, 1:50 AM UTC",
Kanaka,Shigofumi,"4/4/2022, 2:00 AM UTC",
Ryoga Kamishiro,Yu-Gi-Oh! Zexal,"4/4/2022, 2:20 AM UTC",
Caitlyn,Arcane,"4/4/2022, 2:30 AM UTC",
Tamaki,Princess Connect! Re: Dive,"4/4/2022, 2:40 AM UTC",
Keiichi Akemi,Yarichin Bitch-bu,"4/4/2022, 2:50 AM UTC",
Louis Kisaragi,King of Prism by Pretty Rhythm,"4/4/2022, 3:00 AM UTC",
Daiwa Scarlet,Uma Musume: Pretty Derby,"4/4/2022, 3:10 AM UTC",
Komurasaki,One Piece,"4/4/2022, 3:20 AM UTC",
Nana,Elfen Lied,"4/4/2022, 3:30 AM UTC",
Sister Claire,Nijisanji,"4/4/2022, 3:50 AM UTC",
Hasuki Komai,Boarding School Juliet,"4/4/2022, 4:00 AM UTC",
Azumi Hidaka,Wagamama Fairy: Mirumo de Pon!,"4/4/2022, 4:10 AM UTC",
Shuichi Minamino,Yu Yu Hakusho,"4/4/2022, 4:20 AM UTC",
Pazu,Laputa: Castle in the Sky,"4/4/2022, 4:40 AM UTC",
Pannacotta Fugo,JoJo's Bizarre Adventure: Golden Wind,"4/4/2022, 4:50 AM UTC",
Asuna,Sword Art Online,"4/4/2022, 5:00 AM UTC",
Nene Onemine,"Komi-san wa, Komyushou desu.","4/4/2022, 5:10 AM UTC",
Ayako Mitsuzuri,Fate/stay night,"4/4/2022, 5:20 AM UTC",
Milim Nava,That Time I Got Reincarnated as a Slime,"4/4/2022, 5:30 AM UTC",
Fir,Fire Emblem: The Binding Blade,"4/4/2022, 5:40 AM UTC",
Ai Hayasaka,Kaguya-sama: Love Is War,"4/4/2022, 5:50 AM UTC",
Noriko Mizushima,Strawberry Panic,"4/4/2022, 6:10 AM UTC",
Mamoru Akasaka,When They Cry: Higurashi,"4/4/2022, 6:20 AM UTC",
Ash's Pikachu,Pokémon,"4/4/2022, 6:30 AM UTC",
Ach,Busou Shinki: Armored War Goddess,"4/4/2022, 6:50 AM UTC",
Shermie,The King of Fighters '97,"4/4/2022, 7:00 AM UTC",
Ruiko Saten,A Certain Scientific Railgun,"4/4/2022, 7:10 AM UTC",
Emma Brightness,The Hidden Dungeon Only I Can Enter,"4/4/2022, 7:20 AM UTC",
Rentaro Atago,"DANKIRA!!! - Boys, be DANCING!","4/4/2022, 7:30 AM UTC",
Orihime Soletta,Sakura Wars: Gouka Kenran,"4/4/2022, 7:40 AM UTC",
Eri,My Hero Academia 4,"4/4/2022, 7:50 AM UTC",
Elize Lutus,Tales of Xillia,"4/4/2022, 8:00 AM UTC",
Kyrie Ushiromiya,Umineko: When They Cry,"4/4/2022, 8:20 AM UTC",
Rhea,Fire Emblem: Three Houses,"4/4/2022, 8:30 AM UTC",
Itaru Chigasaki,A3! Season Spring & Summer,"4/4/2022, 8:40 AM UTC",
Kuromi,Onegai My Melody Sukkiri,"4/4/2022, 8:50 AM UTC",
Kyoko Sakura,Puella Magi Madoka Magica,"4/4/2022, 9:00 AM UTC",
Iori Izumi,IDOLiSH7,"4/4/2022, 9:10 AM UTC",
Clara Valac,"Welcome to Demon School, Iruma-kun","4/4/2022, 9:20 AM UTC",
Minamoto-no-Raikou,Fate/Grand Order,"4/4/2022, 9:40 AM UTC",
Kiryu Coco,Hololive: Holo no Graffiti,"4/4/2022, 9:50 AM UTC",
Leonardo Bistario Harway,Fate/Extra Last Encore,"4/4/2022, 10:00 AM UTC",
Sakuramochi,Food Fantasy,"4/4/2022, 10:10 AM UTC",
Rudeus Greyrat,Mushoku Tensei: Jobless Reincarnation,"4/4/2022, 10:20 AM UTC",
Rio Yamamoto,"Omoi, Omoware, Furi, Furare","4/4/2022, 10:40 AM UTC",
Schneizel El Britannia,Code Geass: Lelouch of the Rebellion,"4/4/2022, 10:50 AM UTC",
Hulk,Marvel Disk Wars: The Avengers,"4/4/2022, 11:00 AM UTC",
Minako Aino,Sailor Moon,"4/4/2022, 11:10 AM UTC",
Klein,Fire Emblem: The Binding Blade,"4/4/2022, 11:20 AM UTC",
Metera,Granblue Fantasy,"4/4/2022, 11:30 AM UTC",
Palm Siberia,Hunter x Hunter (2011),"4/4/2022, 11:40 AM UTC",
Sally,Peach Boy Riverside,"4/4/2022, 11:50 AM UTC",
Ohjiro Mihara,Angelic Layer,"4/4/2022, 12:00 PM UTC",
Benio Yonomori,Engaged to the Unidentified,"4/4/2022, 12:10 PM UTC",
Fjorm,Fire Emblem Heroes,"4/4/2022, 12:20 PM UTC",
Basar Jide Di Sa Barut,Epic Seven,"4/4/2022, 12:30 PM UTC",
Saki Izumo,D4DJ First Mix,"4/4/2022, 12:50 PM UTC",
Keqing,Genshin Impact,"4/4/2022, 1:10 PM UTC",
Kamala Khan,Marvel Future Avengers,"4/4/2022, 1:20 PM UTC",
Fairy Knight Gawain,Fate/Grand Order,"4/4/2022, 1:30 PM UTC",
Ninny Spangcole,BURN THE WITCH,"4/4/2022, 1:40 PM UTC",
Rin Kujou,To Love Ru,"4/4/2022, 1:50 PM UTC",
Usada Pekora,Hololive: Holo no Graffiti,"4/4/2022, 2:00 PM UTC",
Pecorine,Princess Connect! Re: Dive,"4/4/2022, 2:10 PM UTC",
Tony Tony Chopper,One Piece,"4/4/2022, 2:20 PM UTC",
Stan,Granblue Fantasy,"4/4/2022, 2:30 PM UTC",
Natsuki Shinomiya,Uta no Prince-sama: Maji Love 1000%,"4/4/2022, 2:40 PM UTC",
Lily Shirogane,Aikatsu Stars!,"4/4/2022, 2:50 PM UTC",
Satan,Obey Me!,"4/4/2022, 3:10 PM UTC",
Doris Lang,Vampire Hunter D,"4/4/2022, 3:20 PM UTC",
Coffee,Food Fantasy,"4/4/2022, 3:30 PM UTC",
Haruka Kokonose,Mekakucity Actors,"4/4/2022, 3:40 PM UTC",
Tazuna Hayakawa,Uma Musume: Pretty Derby,"4/4/2022, 3:50 PM UTC",
Shoko Ieiri,Jujutsu Kaisen,"4/4/2022, 4:00 PM UTC",
Shakei Kadowaki,Mononoke,"4/4/2022, 4:10 PM UTC",
Shino,Mononoke,"4/4/2022, 4:20 PM UTC",
Inugami Korone,Hololive: Holo no Graffiti,"4/4/2022, 4:30 PM UTC",
Andrea Cavalcanti,Gankutsuou: The Count of Monte Cristo,"4/4/2022, 4:40 PM UTC",
Emilico,Shadows House,"4/4/2022, 4:50 PM UTC",
Vegito,Dragon Ball Z,"4/4/2022, 5:00 PM UTC",
Koharu Otori,"Hensuki: Are you willing to fall in love with a pervert, as long as she's a cutie?","4/4/2022, 5:20 PM UTC",
Draug,Fire Emblem: Shadow Dragon and the Blade of Light,"4/4/2022, 5:30 PM UTC",
Yurika Toudou,Aikatsu!,"4/4/2022, 5:40 PM UTC",
Hiyori,Princess Connect! Re: Dive,"4/4/2022, 5:50 PM UTC",
Chisato Arashi,Love Live! Superstar!!,"4/4/2022, 6:00 PM UTC",
Vanilla,NEKOPARA,"4/4/2022, 6:10 PM UTC",
Shuu Izumi,TsukiPro the Animation,"4/4/2022, 6:20 PM UTC",
Boh,Spirited Away,"4/4/2022, 6:30 PM UTC",
Seiun Sky,Uma Musume: Pretty Derby,"4/4/2022, 6:50 PM UTC",
Akiya Shirakawa,Opera Girl!,"4/4/2022, 7:00 PM UTC",
Nitocris,Fate/Grand Order,"4/4/2022, 7:10 PM UTC",
Leafa,Sword Art Online,"4/4/2022, 7:20 PM UTC",
Katou,Tanaka-kun is Always Listless,"4/4/2022, 7:40 PM UTC",
Mitsuyoshi Anzai,Slam Dunk,"4/4/2022, 7:50 PM UTC",
JunJun,Sailor Moon Super S,"4/4/2022, 8:00 PM UTC",
Maya Sakashiro,Keijo!!!!!!!!,"4/4/2022, 8:10 PM UTC",
Takuya Kuroki,Night Head 2041,"4/4/2022, 8:20 PM UTC",
Thors Snorresson,Vinland Saga,"4/4/2022, 8:30 PM UTC",
Esil Radiru,Solo Leveling,"4/4/2022, 8:40 PM UTC",
Misaya Reiroukan,Fate/Prototype,"4/4/2022, 9:10 PM UTC",
Jean,Genshin Impact,"4/4/2022, 9:20 PM UTC",
Mirai Hatada,CRYSTAR,"4/4/2022, 9:30 PM UTC",
Kazuki Shimada,A Silent Voice,"4/4/2022, 9:40 PM UTC",
Sukuna,Jujutsu Kaisen,"4/4/2022, 10:00 PM UTC",
Nazar,Tales of the Rays,"4/4/2022, 10:10 PM UTC",
Balder Hringhorni,Kamigami no Asobi,"4/4/2022, 10:20 PM UTC",
Welf Crozzo,Is It Wrong to Try to Pick Up Girls in a Dungeon?,"4/4/2022, 10:40 PM UTC",
Ichika Hoshino,Collar X Malice,"4/4/2022, 10:50 PM UTC",
Max Lobo,Banana Fish,"4/4/2022, 11:00 PM UTC",
Romulus,Fate/Grand Order,"4/4/2022, 11:10 PM UTC",
Dr. Eggman,Sonic X,"4/4/2022, 11:20 PM UTC",
Unabara,Heaven's Design Team,"4/4/2022, 11:30 PM UTC",
Saya Sasamiya,The Asterisk War,"4/4/2022, 11:40 PM UTC",
Christopher Columbus,Fate/Grand Order,"4/4/2022, 11:50 PM UTC",
Shishiro Botan,Hololive: Holo no Graffiti,"4/5/2022, 12:10 AM UTC",
Nozomi Takamiya,Slam Dunk,"4/5/2022, 12:20 AM UTC",
Kiana Kaslana,Honkai Impact 3rd,"4/5/2022, 12:30 AM UTC",
Rikuou Himura,xxxHOLiC,"4/5/2022, 12:40 AM UTC",
William James Moriarty,Moriarty the Patriot,"4/5/2022, 12:50 AM UTC",
Chiaki Ohgaki,Laid-Back Camp,"4/5/2022, 1:00 AM UTC",
Ukyo,Dr. Stone,"4/5/2022, 1:10 AM UTC",
Illyasviel von Einzbern,Fate/stay night,"4/5/2022, 1:20 AM UTC",
Yukiya Naruse,Code Geass Gaiden: Boukoku no Akito,"4/5/2022, 1:30 AM UTC",
Yuno,Black Clover,"4/5/2022, 1:40 AM UTC",
Sen,Granblue Fantasy,"4/5/2022, 1:50 AM UTC",
Pizza,Food Fantasy,"4/5/2022, 2:00 AM UTC",
Himiko,Fate/Grand Order,"4/5/2022, 2:10 AM UTC",
Kuro,Servamp,"4/5/2022, 2:30 AM UTC",
Pip Bernadotte,Hellsing Ultimate,"4/5/2022, 2:40 AM UTC",
Gretel,Black Lagoon: The Second Barrage,"4/5/2022, 2:50 AM UTC",
Yusuke Urameshi,Yu Yu Hakusho,"4/5/2022, 3:00 AM UTC",
No,Hiragana Danshi,"4/5/2022, 3:10 AM UTC",
Arrietty,The Secret World of Arrietty,"4/5/2022, 3:20 AM UTC",
Dou Dou's Mother,Link Click,"4/5/2022, 3:30 AM UTC",
Misteltein,Closers,"4/5/2022, 3:40 AM UTC",
Lucifer,Obey Me!,"4/5/2022, 3:50 AM UTC",
Klee,Genshin Impact,"4/5/2022, 4:00 AM UTC",
Kurumi Nonaka,The Testament of Sister New Devil,"4/5/2022, 4:10 AM UTC",
Lilith,Combatants Will Be Dispatched!,"4/5/2022, 4:20 AM UTC",
Shinichi Maki,Slam Dunk,"4/5/2022, 4:40 AM UTC",
Roxy Migurdia,Mushoku Tensei: Jobless Reincarnation,"4/5/2022, 4:50 AM UTC",
Yukako Yamagishi,JoJo's Bizarre Adventure: Diamond Is Unbreakable,"4/5/2022, 5:00 AM UTC",
Momomi Kiyashiki,Strawberry Panic,"4/5/2022, 5:10 AM UTC",
Yagyu Tajima-no-Kami Munenori,Fate/Grand Order,"4/5/2022, 5:20 AM UTC",
Kurenai Kogetsu,Edens Zero,"4/5/2022, 5:30 AM UTC",
Kouta,Elfen Lied,"4/5/2022, 5:40 AM UTC",
Hikoichi Aida,Slam Dunk,"4/5/2022, 5:50 AM UTC",
Saika Totsuka,My Teen Romantic Comedy SNAFU OVA,"4/5/2022, 6:00 AM UTC",
Ludger Will Kresnik,Tales of Xillia 2,"4/5/2022, 6:10 AM UTC",
Biwa Hayahide,Uma Musume: Pretty Derby,"4/5/2022, 6:20 AM UTC",
Yui,Angel Beats!,"4/5/2022, 6:30 AM UTC",
Takeuchi,A Silent Voice,"4/5/2022, 6:40 AM UTC",
Striga,Castlevania Season 3,"4/5/2022, 7:00 AM UTC",
Satou Yomoshichi,Ayakashi: Japanese Classic Horror,"4/5/2022, 7:10 AM UTC",
Killer T Cell,Cells at Work!,"4/5/2022, 7:20 AM UTC",
Makoto Yokomizo,AKB0048,"4/5/2022, 7:30 AM UTC",
Kaguya Ootsutsuki,Naruto Shippuden,"4/5/2022, 7:40 AM UTC",
Candy Cane,Food Fantasy,"4/5/2022, 7:50 AM UTC",
Sutea Kouroya,Mother of the Goddess' Dormitory,"4/5/2022, 8:00 AM UTC",
Sumire Heanna,Love Live! Superstar!!,"4/5/2022, 8:10 AM UTC",
Kusuo Saiki,The Disastrous Life of Saiki K.,"4/5/2022, 8:20 AM UTC",
Jiro Yamada,Hypnosis Mic: Division Rap Battle - Rhyme Anima,"4/5/2022, 8:30 AM UTC",
Chisato Mizusawa,Love is Like a Cocktail,"4/5/2022, 8:40 AM UTC",
Hasta Ekstermi,Tales of Innocence,"4/5/2022, 8:50 AM UTC",
Tasuku Takato,A3! Season Autumn & Winter,"4/5/2022, 9:10 AM UTC",
Vegeta,Dragon Ball Z,"4/5/2022, 9:20 AM UTC",
Hajime Shinoda,New Game!,"4/5/2022, 9:30 AM UTC",
Sayaka Miyata,Keijo!!!!!!!!,"4/5/2022, 9:40 AM UTC",
Ayesha Ignis Fatuus,"Problem Children Are Coming from Another World, Aren't They?","4/5/2022, 9:50 AM UTC",
Hinako Mukaimizu,Ride Your Wave,"4/5/2022, 10:00 AM UTC",
Luna,DOTA: Dragon's Blood,"4/5/2022, 10:10 AM UTC",
Yuu Takasaki,Love Live! Nijigasaki High School Idol Club,"4/5/2022, 10:20 AM UTC",
Yamato Ishida,Digimon Adventure,"4/5/2022, 10:30 AM UTC",
Welt Yang,Honkai Impact 3rd,"4/5/2022, 10:40 AM UTC",
Luviagelita Edelfelt,Lord El-Melloi II's Case Files {Rail Zeppelin} Grace note,"4/5/2022, 10:50 AM UTC",
Nina Maehara,Dropout Idol Fruit Tart,"4/5/2022, 11:00 AM UTC",
Yami Sukehiro,Black Clover,"4/5/2022, 11:10 AM UTC",
Harumi Kinoshita,"Kanojo, Okarishimasu","4/5/2022, 11:30 AM UTC",
Rhyme,The World Ends with You,"4/5/2022, 11:40 AM UTC",
Ino Yamanaka,Naruto,"4/5/2022, 11:50 AM UTC",
Roman Yamashina,Tsuki ga Kirei,"4/5/2022, 12:00 PM UTC",
Nemu Kurotsuchi,Bleach,"4/5/2022, 12:10 PM UTC",
Nina Fortner,Monster,"4/5/2022, 12:20 PM UTC",
